month,month_name,year,segment,metric,value
4,April,2022,domestic,arrivals,190769.0
4,April,2022,domestic,nights,428133.0
4,April,2022,foreign,arrivals,641916.0
4,April,2022,foreign,nights,2097215.0
4,April,2022,total,arrivals,832685.0
4,April,2022,total,nights,2525348.0
5,May,2022,domestic,arrivals,254882.0
5,May,2022,domestic,nights,563053.0
5,May,2022,foreign,arrivals,976312.0
5,May,2022,foreign,nights,3700789.0
5,May,2022,total,arrivals,1231194.0
5,May,2022,total,nights,4263842.0
6,June,2022,domestic,arrivals,289528.0
6,June,2022,domestic,nights,904160.0
6,June,2022,foreign,arrivals,2369160.0
6,June,2022,foreign,nights,12166401.0
6,June,2022,total,arrivals,2658688.0
6,June,2022,total,nights,13070561.0
7,July,2022,domestic,arrivals,335216.0
7,July,2022,domestic,nights,1578055.0
7,July,2022,foreign,arrivals,4005988.0
7,July,2022,foreign,nights,23685799.0
7,July,2022,total,arrivals,4341204.0
7,July,2022,total,nights,25263854.0
8,August,2022,domestic,arrivals,366067.0
8,August,2022,domestic,nights,1998590.0
8,August,2022,foreign,arrivals,4012753.0
8,August,2022,foreign,nights,25529639.0
8,August,2022,total,arrivals,4378820.0
8,August,2022,total,nights,27528229.0
9,September,2022,domestic,arrivals,206019.0
9,September,2022,domestic,nights,600884.0
9,September,2022,foreign,arrivals,1867403.0
9,September,2022,foreign,nights,10531248.0
9,September,2022,total,arrivals,2073422.0
9,September,2022,total,nights,11132132.0
10,October,2022,domestic,arrivals,200605.0
10,October,2022,domestic,nights,420757.0
10,October,2022,foreign,arrivals,691346.0
10,October,2022,foreign,nights,2406757.0
10,October,2022,total,arrivals,891951.0
10,October,2022,total,nights,2827514.0
11,November,2022,domestic,arrivals,139989.0
11,November,2022,domestic,nights,274760.0
11,November,2022,foreign,arrivals,184196.0
11,November,2022,foreign,nights,526434.0
11,November,2022,total,arrivals,324185.0
11,November,2022,total,nights,801194.0
12,December,2022,domestic,arrivals,135178.0
12,December,2022,domestic,nights,249766.0
12,December,2022,foreign,arrivals,194298.0
12,December,2022,foreign,nights,490337.0
12,December,2022,total,arrivals,329476.0
12,December,2022,total,nights,740103.0
1,January,2023,domestic,arrivals,114227.0
1,January,2023,domestic,nights,252929.0
1,January,2023,foreign,arrivals,114585.0
1,January,2023,foreign,nights,348748.0
1,January,2023,total,arrivals,228812.0
1,January,2023,total,nights,601677.0
2,February,2023,domestic,arrivals,129235.0
2,February,2023,domestic,nights,261765.0
2,February,2023,foreign,arrivals,143264.0
2,February,2023,foreign,nights,389565.0
2,February,2023,total,arrivals,272499.0
2,February,2023,total,nights,651330.0
3,March,2023,domestic,arrivals,151332.0
3,March,2023,domestic,nights,300451.0
3,March,2023,foreign,arrivals,273051.0
3,March,2023,foreign,nights,682028.0
3,March,2023,total,arrivals,424383.0
3,March,2023,total,nights,982479.0
4,April,2023,domestic,arrivals,220346.0
4,April,2023,domestic,nights,494415.0
4,April,2023,foreign,arrivals,870483.0
4,April,2023,foreign,nights,2547070.0
4,April,2023,total,arrivals,1090829.0
4,April,2023,total,nights,3041485.0
5,May,2023,domestic,arrivals,250792.0
5,May,2023,domestic,nights,568273.0
5,May,2023,foreign,arrivals,1373427.0
5,May,2023,foreign,nights,5002829.0
5,May,2023,total,arrivals,1624219.0
5,May,2023,total,nights,5571102.0
6,June,2023,domestic,arrivals,287755.0
6,June,2023,domestic,nights,904853.0
6,June,2023,foreign,arrivals,2445501.0
6,June,2023,foreign,nights,12279926.0
6,June,2023,total,arrivals,2733256.0
6,June,2023,total,nights,13184779.0
7,July,2023,domestic,arrivals,351220.0
7,July,2023,domestic,nights,1618068.0
7,July,2023,foreign,arrivals,4157355.0
7,July,2023,foreign,nights,23425318.0
7,July,2023,total,arrivals,4508575.0
7,July,2023,total,nights,25043386.0
8,August,2023,domestic,arrivals,372492.0
8,August,2023,domestic,nights,2022068.0
8,August,2023,foreign,arrivals,4063272.0
8,August,2023,foreign,nights,24876497.0
8,August,2023,total,arrivals,4435764.0
8,August,2023,total,nights,26898565.0
9,September,2023,domestic,arrivals,234502.0
9,September,2023,domestic,nights,649583.0
9,September,2023,foreign,arrivals,2157114.0
9,September,2023,foreign,nights,10924810.0
9,September,2023,total,arrivals,2391616.0
9,September,2023,total,nights,11574393.0
10,October,2023,domestic,arrivals,209777.0
10,October,2023,domestic,nights,440045.0
10,October,2023,foreign,arrivals,815039.0
10,October,2023,foreign,nights,2725287.0
10,October,2023,total,arrivals,1024816.0
10,October,2023,total,nights,3165332.0
11,November,2023,domestic,arrivals,155309.0
11,November,2023,domestic,nights,297971.0
11,November,2023,foreign,arrivals,213488.0
11,November,2023,foreign,nights,525165.0
11,November,2023,total,arrivals,368797.0
11,November,2023,total,nights,823136.0
12,December,2023,domestic,arrivals,161075.0
12,December,2023,domestic,nights,302807.0
12,December,2023,foreign,arrivals,228290.0
12,December,2023,foreign,nights,536361.0
12,December,2023,total,arrivals,389365.0
12,December,2023,total,nights,839168.0
1,January,2024,domestic,arrivals,113329.0
1,January,2024,domestic,nights,251190.0
1,January,2024,foreign,arrivals,117858.0
1,January,2024,foreign,nights,343183.0
1,January,2024,total,arrivals,231187.0
1,January,2024,total,nights,594373.0
2,February,2024,domestic,arrivals,143053.0
2,February,2024,domestic,nights,287581.0
2,February,2024,foreign,arrivals,169401.0
2,February,2024,foreign,nights,415522.0
2,February,2024,total,arrivals,312454.0
2,February,2024,total,nights,703103.0
3,March,2024,domestic,arrivals,165754.0
3,March,2024,domestic,nights,346300.0
3,March,2024,foreign,arrivals,370879.0
3,March,2024,foreign,nights,975336.0
3,March,2024,total,arrivals,536633.0
3,March,2024,total,nights,1321636.0
4,April,2024,domestic,arrivals,217565.0
4,April,2024,domestic,nights,465369.0
4,April,2024,foreign,arrivals,813473.0
4,April,2024,foreign,nights,2309378.0
4,April,2024,total,arrivals,1031038.0
4,April,2024,total,nights,2774747.0
5,May,2024,domestic,arrivals,283185.0
5,May,2024,domestic,nights,618917.0
5,May,2024,foreign,arrivals,1658615.0
5,May,2024,foreign,nights,6285383.0
5,May,2024,total,arrivals,1941800.0
5,May,2024,total,nights,6904300.0
6,June,2024,domestic,arrivals,293887.0
6,June,2024,domestic,nights,909837.0
6,June,2024,foreign,arrivals,2531654.0
6,June,2024,foreign,nights,11613358.0
6,June,2024,total,arrivals,2825541.0
6,June,2024,total,nights,12523195.0
7,July,2024,domestic,arrivals,376510.0
7,July,2024,domestic,nights,1747928.0
7,July,2024,foreign,arrivals,4039737.0
7,July,2024,foreign,nights,23427832.0
7,July,2024,total,arrivals,4416247.0
7,July,2024,total,nights,25175760.0
8,August,2024,domestic,arrivals,446581.0
8,August,2024,domestic,nights,2256680.0
8,August,2024,foreign,arrivals,4246337.0
8,August,2024,foreign,nights,24928581.0
8,August,2024,total,arrivals,4692918.0
8,August,2024,total,nights,27185261.0
9,September,2024,domestic,arrivals,229432.0
9,September,2024,domestic,nights,673104.0
9,September,2024,foreign,arrivals,2053420.0
9,September,2024,foreign,nights,10508091.0
9,September,2024,total,arrivals,2282852.0
9,September,2024,total,nights,11181195.0
