spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Dubravica,2023,0.6,20.56,,,,,,0.3,,,,7.0,57.0,1192.0,municipality,dubravica
Dubravica,2024,0.9,20.56,,,,,,0.5,,,,11.0,57.0,1192.0,municipality,dubravica
Dubrovačko Primorje,2021,127.1,197.64,18059.0,1103.9,91.4,6.9,59.9,10.5,124441.0,7606.4,629.6,2079.0,8.0,1636.0,municipality,dubrovacko primorje
Dubrovačko Primorje,2022,133.9,197.64,,,,,,11.1,,,,2190.0,8.0,1636.0,municipality,dubrovacko primorje
Dubrovačko Primorje,2023,135.1,197.64,31739.0,1940.0,160.6,5.8,83.7,11.2,184900.0,11302.0,935.5,2210.0,8.0,1636.0,municipality,dubrovacko primorje
Dubrovačko Primorje,2024,134.7,197.64,35596.0,2175.8,180.1,5.7,92.5,11.1,203831.0,12459.1,1031.3,2203.0,8.0,1636.0,municipality,dubrovacko primorje
Dubrovnik,2021,67.7,142.64,518102.0,1246.6,3632.2,3.6,66.3,197.3,1865885.0,4489.4,13081.1,28137.0,291.0,41562.0,municipality,dubrovnik
Dubrovnik,2022,76.3,142.64,1029559.0,2477.2,7217.9,3.4,109.9,222.2,3483909.0,8382.4,24424.5,31698.0,291.0,41562.0,municipality,dubrovnik
Dubrovnik,2023,78.8,142.64,1235533.0,2972.7,8661.9,3.1,116.2,229.6,3805726.0,9156.7,26680.6,32745.0,291.0,41562.0,municipality,dubrovnik
Dubrovnik,2024,79.7,142.64,1347526.0,3242.2,9447.0,3.1,126.5,232.3,4192151.0,10086.5,29389.7,33133.0,291.0,41562.0,municipality,dubrovnik
Duga Resa,2021,6.3,60.91,16787.0,164.4,275.6,2.0,52.6,10.6,34090.0,333.8,559.7,648.0,167.0,10212.0,municipality,duga resa
Duga Resa,2022,6.8,60.91,19773.0,193.6,324.6,2.2,61.4,11.5,42847.0,419.6,703.4,698.0,167.0,10212.0,municipality,duga resa
Duga Resa,2023,7.2,60.91,21741.0,212.9,356.9,2.2,64.3,12.1,47215.0,462.3,775.2,734.0,167.0,10212.0,municipality,duga resa
Duga Resa,2024,7.8,60.91,22815.0,223.4,374.6,2.1,61.5,13.1,49048.0,480.3,805.3,797.0,167.0,10212.0,municipality,duga resa
Dugi Rat,2021,94.3,11.02,48079.0,699.2,4362.9,7.2,53.7,588.4,348111.0,5062.7,31589.0,6484.0,623.0,6876.0,municipality,dugi rat
Dugi Rat,2022,97.5,11.02,59603.0,866.8,5408.6,6.9,61.4,608.5,411953.0,5991.2,37382.3,6706.0,623.0,6876.0,municipality,dugi rat
Dugi Rat,2023,100.9,11.02,64252.0,934.4,5830.5,6.7,62.4,629.6,432660.0,6292.3,39261.3,6938.0,623.0,6876.0,municipality,dugi rat
Dugi Rat,2024,101.6,11.02,67810.0,986.2,6153.4,6.7,64.5,634.0,451005.0,6559.1,40926.0,6987.0,623.0,6876.0,municipality,dugi rat
Dugo Selo,2021,0.7,54.29,790.0,4.5,14.6,1.8,11.5,2.3,1455.0,8.2,26.8,126.0,325.0,17676.0,municipality,dugo selo
Dugo Selo,2022,0.8,54.29,2021.0,11.4,37.2,2.2,32.0,2.5,4349.0,24.6,80.1,136.0,325.0,17676.0,municipality,dugo selo
Dugo Selo,2023,0.8,54.29,1617.0,9.1,29.8,2.2,26.1,2.6,3634.0,20.6,66.9,139.0,325.0,17676.0,municipality,dugo selo
Dugo Selo,2024,0.8,54.29,1093.0,6.2,20.1,2.5,19.7,2.6,2772.0,15.7,51.1,141.0,325.0,17676.0,municipality,dugo selo
Dugopolje,2021,5.2,63.65,1426.0,38.1,22.4,6.8,50.2,3.0,9743.0,260.4,153.1,194.0,58.0,3742.0,municipality,dugopolje
Dugopolje,2022,5.9,63.65,2243.0,59.9,35.2,6.0,61.0,3.5,13491.0,360.5,212.0,221.0,58.0,3742.0,municipality,dugopolje
Dugopolje,2023,6.5,63.65,2552.0,68.2,40.1,5.5,57.8,3.8,14050.0,375.5,220.7,243.0,58.0,3742.0,municipality,dugopolje
Dugopolje,2024,7.2,63.65,2759.0,73.7,43.3,5.5,55.9,4.2,15106.0,403.7,237.3,270.0,58.0,3742.0,municipality,dugopolje
Dvor,2021,,505.69,,,,,,,,,,,5.0,2996.0,municipality,dvor
Dvor,2022,0.6,505.69,,,,,,0.0,,,,19.0,5.0,2996.0,municipality,dvor
Dvor,2023,0.8,505.69,,,,,,0.0,,,,23.0,5.0,2996.0,municipality,dvor
Dvor,2024,1.1,505.69,,,,,,0.1,,,,33.0,5.0,2996.0,municipality,dvor
Erdut,2021,1.6,157.5,599.0,11.0,3.8,2.1,14.5,0.5,1246.0,22.9,7.9,86.0,34.0,5436.0,municipality,erdut
Erdut,2022,1.9,157.5,617.0,11.4,3.9,2.5,14.5,0.7,1541.0,28.3,9.8,106.0,34.0,5436.0,municipality,erdut
Erdut,2023,2.3,157.5,706.0,13.0,4.5,2.6,14.3,0.8,1817.0,33.4,11.5,127.0,34.0,5436.0,municipality,erdut
Erdut,2024,2.0,157.5,640.0,11.8,4.1,2.8,16.4,0.7,1819.0,33.5,11.5,111.0,34.0,5436.0,municipality,erdut
Ernestinovo,2021,,32.04,,,,,,,,,,,60.0,1948.0,municipality,ernestinovo
Ernestinovo,2022,,32.04,,,,,,,,,,,60.0,1948.0,municipality,ernestinovo
Ernestinovo,2023,,32.04,,,,,,,,,,,60.0,1948.0,municipality,ernestinovo
Ernestinovo,2024,,32.04,,,,,,,,,,,60.0,1948.0,municipality,ernestinovo
Ervenik,2021,1.0,212.83,,,,,,0.0,,,,8.0,3.0,789.0,municipality,ervenik
Ervenik,2022,1.0,212.83,,,,,,0.0,,,,8.0,3.0,789.0,municipality,ervenik
Ervenik,2023,1.0,212.83,,,,,,0.0,,,,8.0,3.0,789.0,municipality,ervenik
Ervenik,2024,1.0,212.83,,,,,,0.0,,,,8.0,3.0,789.0,municipality,ervenik
Farkaševac,2021,0.6,73.77,,,,,,0.1,,,,10.0,21.0,1562.0,municipality,farkasevac
Farkaševac,2022,0.6,73.77,,,,,,0.1,,,,10.0,21.0,1562.0,municipality,farkasevac
Farkaševac,2023,0.9,73.77,,,,,,0.2,,,,14.0,21.0,1562.0,municipality,farkasevac
Farkaševac,2024,,73.77,,,,,,,,,,,21.0,1562.0,municipality,farkasevac
Fažana - Fasana,2021,347.7,13.64,108976.0,3146.9,7989.4,7.6,68.6,882.8,825926.0,23850.0,60551.8,12041.0,253.0,3463.0,municipality,fazana fasana
Fažana - Fasana,2022,350.4,13.64,144593.0,4175.4,10600.7,7.4,88.5,889.6,1074292.0,31022.0,78760.4,12134.0,253.0,3463.0,municipality,fazana fasana
Fažana - Fasana,2023,353.8,13.64,154761.0,4469.0,11346.1,7.2,90.7,898.2,1111164.0,32086.7,81463.6,12251.0,253.0,3463.0,municipality,fazana fasana
Fažana - Fasana,2024,356.8,13.64,157370.0,4544.3,11537.4,7.0,88.8,905.9,1097627.0,31695.8,80471.2,12357.0,253.0,3463.0,municipality,fazana fasana
Ferdinandovac,2021,0.3,49.71,,,,,,0.1,,,,4.0,28.0,1415.0,municipality,ferdinandovac
Ferdinandovac,2022,0.4,49.71,,,,,,0.1,,,,6.0,28.0,1415.0,municipality,ferdinandovac
Ferdinandovac,2023,0.7,49.71,117.0,8.3,2.4,3.1,36.7,0.2,367.0,25.9,7.4,10.0,28.0,1415.0,municipality,ferdinandovac
Ferdinandovac,2024,0.6,49.71,,,,,,0.2,,,,8.0,28.0,1415.0,municipality,ferdinandovac
Feričanci,2021,2.3,45.79,,,,,,0.9,,,,39.0,37.0,1725.0,municipality,fericanci
Feričanci,2022,2.5,45.79,236.0,13.7,5.2,2.0,10.8,0.9,465.0,27.0,10.2,43.0,37.0,1725.0,municipality,fericanci
Feričanci,2023,2.5,45.79,,,,,,0.9,,,,43.0,37.0,1725.0,municipality,fericanci
Feričanci,2024,3.8,45.79,319.0,18.5,7.0,3.9,18.8,1.4,1243.0,72.1,27.1,66.0,37.0,1725.0,municipality,fericanci
Funtana - Fontane,2021,2026.1,7.96,214728.0,23570.6,26975.9,7.4,86.4,2318.8,1594703.0,175049.7,200339.6,18458.0,114.0,911.0,municipality,funtana fontane
Funtana - Fontane,2022,2033.9,7.96,288337.0,31650.6,36223.2,6.9,106.6,2327.8,1975583.0,216858.7,248188.8,18529.0,114.0,911.0,municipality,funtana fontane
Funtana - Fontane,2023,2049.7,7.96,309502.0,33973.9,38882.2,6.7,110.3,2345.9,2060472.0,226176.9,258853.3,18673.0,114.0,911.0,municipality,funtana fontane
Funtana - Fontane,2024,2085.6,7.96,321417.0,35281.8,40379.0,6.5,110.5,2386.9,2098664.0,230369.3,263651.3,19000.0,114.0,911.0,municipality,funtana fontane
Fužine,2021,42.7,85.81,9990.0,716.6,116.4,2.5,42.3,6.9,25168.0,1805.5,293.3,595.0,16.0,1394.0,municipality,fuzine
Fužine,2022,44.3,85.81,9988.0,716.5,116.4,3.0,48.6,7.2,29971.0,2150.0,349.3,617.0,16.0,1394.0,municipality,fuzine
Fužine,2023,48.1,85.81,12608.0,904.4,146.9,2.7,50.1,7.8,33590.0,2409.6,391.4,671.0,16.0,1394.0,municipality,fuzine
Fužine,2024,49.2,85.81,10689.0,766.8,124.6,2.8,44.3,8.0,30371.0,2178.7,353.9,686.0,16.0,1394.0,municipality,fuzine
Galovac,2021,15.7,9.51,,,,,,20.7,,,,197.0,132.0,1258.0,municipality,galovac
Galovac,2022,17.9,9.51,1811.0,144.0,190.4,7.4,59.8,23.7,13453.0,1069.4,1414.6,225.0,132.0,1258.0,municipality,galovac
Galovac,2023,17.0,9.51,1721.0,136.8,181.0,7.4,59.2,22.5,12668.0,1007.0,1332.1,214.0,132.0,1258.0,municipality,galovac
Galovac,2024,15.6,9.51,1638.0,130.2,172.2,7.2,60.5,20.6,11863.0,943.0,1247.4,196.0,132.0,1258.0,municipality,galovac
Garešnica,2021,1.1,226.35,1944.0,22.5,8.6,2.1,44.2,0.4,4151.0,48.1,18.3,94.0,38.0,8624.0,municipality,garesnica
Garešnica,2022,1.1,226.35,2749.0,31.9,12.1,1.8,54.4,0.4,4949.0,57.4,21.9,91.0,38.0,8624.0,municipality,garesnica
Garešnica,2023,1.1,226.35,2784.0,32.3,12.3,1.8,51.1,0.4,5008.0,58.1,22.1,98.0,38.0,8624.0,municipality,garesnica
Garešnica,2024,1.2,226.35,2643.0,30.6,11.7,1.8,45.8,0.5,4859.0,56.3,21.5,106.0,38.0,8624.0,municipality,garesnica
Garčin,2021,1.8,88.3,896.0,22.7,10.1,1.5,18.7,0.8,1343.0,34.0,15.2,72.0,44.0,3951.0,municipality,garcin
Garčin,2022,1.8,88.3,991.0,25.1,11.2,2.7,37.3,0.8,2688.0,68.0,30.4,72.0,44.0,3951.0,municipality,garcin
Garčin,2023,2.0,88.3,1506.0,38.1,17.1,2.8,52.3,0.9,4182.0,105.8,47.4,80.0,44.0,3951.0,municipality,garcin
Garčin,2024,2.0,88.3,2008.0,50.8,22.7,1.4,35.2,0.9,2815.0,71.2,31.9,80.0,44.0,3951.0,municipality,garcin
Generalski Stol,2021,11.6,100.0,2481.0,114.3,24.8,2.3,23.1,2.5,5827.0,268.4,58.3,252.0,21.0,2171.0,municipality,generalski stol
Generalski Stol,2022,11.5,100.0,2619.0,120.6,26.2,2.7,28.0,2.5,6998.0,322.3,70.0,250.0,21.0,2171.0,municipality,generalski stol
Generalski Stol,2023,9.4,100.0,2057.0,94.7,20.6,2.8,28.1,2.0,5698.0,262.5,57.0,203.0,21.0,2171.0,municipality,generalski stol
Generalski Stol,2024,9.4,100.0,1872.0,86.2,18.7,2.8,25.7,2.0,5270.0,242.7,52.7,205.0,21.0,2171.0,municipality,generalski stol
Glina,2021,0.2,544.2,160.0,2.2,0.3,6.8,67.9,0.0,1086.0,15.3,2.0,16.0,13.0,7116.0,municipality,glina
Glina,2022,0.2,544.2,127.0,1.8,0.2,8.7,68.9,0.0,1103.0,15.5,2.0,16.0,13.0,7116.0,municipality,glina
Glina,2023,0.3,544.2,150.0,2.1,0.3,7.5,56.6,0.0,1132.0,15.9,2.1,20.0,13.0,7116.0,municipality,glina
Glina,2024,0.2,544.2,,,,,,0.0,,,,17.0,13.0,7116.0,municipality,glina
Gola,2021,0.9,75.94,,,,,,0.3,,,,19.0,27.0,2078.0,municipality,gola
Gola,2022,2.6,75.94,289.0,13.9,3.8,2.3,12.1,0.7,651.0,31.3,8.6,54.0,27.0,2078.0,municipality,gola
Gola,2023,2.6,75.94,344.0,16.6,4.5,2.1,13.4,0.7,721.0,34.7,9.5,54.0,27.0,2078.0,municipality,gola
Gola,2024,2.6,75.94,360.0,17.3,4.7,2.2,14.7,0.7,795.0,38.3,10.5,54.0,27.0,2078.0,municipality,gola
Goričan,2021,,21.66,,,,,,,,,,,108.0,2343.0,municipality,gorican
Goričan,2022,,21.66,,,,,,,,,,,108.0,2343.0,municipality,gorican
Goričan,2023,,21.66,,,,,,,,,,,108.0,2343.0,municipality,gorican
Goričan,2024,,21.66,,,,,,,,,,,108.0,2343.0,municipality,gorican
Gorjani,2021,,50.92,,,,,,,,,,,24.0,1246.0,municipality,gorjani
Gorjani,2022,0.5,50.92,,,,,,0.1,,,,6.0,24.0,1246.0,municipality,gorjani
Gorjani,2023,0.5,50.92,,,,,,0.1,,,,6.0,24.0,1246.0,municipality,gorjani
Gorjani,2024,0.5,50.92,,,,,,0.1,,,,6.0,24.0,1246.0,municipality,gorjani
Gornja Rijeka,2021,,32.64,,,,,,,,,,,47.0,1559.0,municipality,gornja rijeka
Gornja Rijeka,2022,,32.64,,,,,,,,,,,47.0,1559.0,municipality,gornja rijeka
Gornja Rijeka,2023,,32.64,,,,,,,,,,,47.0,1559.0,municipality,gornja rijeka
Gornja Rijeka,2024,0.3,32.64,,,,,,0.1,,,,4.0,47.0,1559.0,municipality,gornja rijeka
Gornja Stubica,2021,1.2,48.68,916.0,19.8,18.8,1.9,30.4,1.2,1705.0,36.9,35.0,56.0,94.0,4622.0,municipality,gornja stubica
Gornja Stubica,2022,1.4,48.68,1146.0,24.8,23.5,1.5,25.1,1.4,1682.0,36.4,34.6,67.0,94.0,4622.0,municipality,gornja stubica
Gornja Stubica,2023,1.3,48.68,1459.0,31.6,30.0,1.6,38.3,1.3,2372.0,51.3,48.7,62.0,94.0,4622.0,municipality,gornja stubica
Gornja Stubica,2024,1.6,48.68,1237.0,26.8,25.4,1.9,32.0,1.5,2338.0,50.6,48.0,73.0,94.0,4622.0,municipality,gornja stubica
Gornja Vrba,2021,,20.13,,,,,,,,,,,107.0,2168.0,municipality,gornja vrba
Gornja Vrba,2022,,20.13,,,,,,,,,,,107.0,2168.0,municipality,gornja vrba
Gornja Vrba,2023,,20.13,,,,,,,,,,,107.0,2168.0,municipality,gornja vrba
Gornja Vrba,2024,,20.13,,,,,,,,,,,107.0,2168.0,municipality,gornja vrba
Gornji Bogićevci,2021,1.1,41.84,,,,,,0.4,,,,16.0,34.0,1428.0,municipality,gornji bogicevci
Gornji Bogićevci,2022,1.1,41.84,,,,,,0.4,,,,16.0,34.0,1428.0,municipality,gornji bogicevci
Gornji Bogićevci,2023,1.1,41.84,,,,,,0.4,,,,16.0,34.0,1428.0,municipality,gornji bogicevci
Gornji Bogićevci,2024,1.1,41.84,,,,,,0.4,,,,16.0,34.0,1428.0,municipality,gornji bogicevci
Gornji Kneginec,2021,2.3,22.21,3359.0,68.6,151.2,2.1,63.6,5.0,7119.0,145.3,320.5,112.0,220.0,4900.0,municipality,gornji kneginec
Gornji Kneginec,2022,2.8,22.21,4499.0,91.8,202.6,1.9,61.9,6.2,8538.0,174.2,384.4,138.0,220.0,4900.0,municipality,gornji kneginec
Gornji Kneginec,2023,2.8,22.21,4804.0,98.0,216.3,2.1,73.4,6.2,10131.0,206.8,456.1,138.0,220.0,4900.0,municipality,gornji kneginec
Gornji Kneginec,2024,3.1,22.21,5045.0,103.0,227.1,2.0,64.2,6.9,9886.0,201.8,445.1,154.0,220.0,4900.0,municipality,gornji kneginec
Gornji Mihaljevec,2021,0.2,32.13,,,,,,0.1,,,,4.0,54.0,1740.0,municipality,gornji mihaljevec
Gornji Mihaljevec,2022,,32.13,,,,,,,,,,,54.0,1740.0,municipality,gornji mihaljevec
Gornji Mihaljevec,2023,0.1,32.13,,,,,,0.1,,,,2.0,54.0,1740.0,municipality,gornji mihaljevec
Gornji Mihaljevec,2024,0.2,32.13,,,,,,0.1,,,,4.0,54.0,1740.0,municipality,gornji mihaljevec
Gospić,2021,7.5,967.45,14428.0,125.4,14.9,2.0,34.4,0.9,29568.0,257.1,30.6,860.0,11.0,11502.0,municipality,gospic
Gospić,2022,8.1,967.45,17205.0,149.6,17.8,2.2,39.8,1.0,37066.0,322.3,38.3,931.0,11.0,11502.0,municipality,gospic
Gospić,2023,8.9,967.45,22618.0,196.6,23.4,2.0,44.1,1.1,45123.0,392.3,46.6,1023.0,11.0,11502.0,municipality,gospic
Gospić,2024,9.7,967.45,24042.0,209.0,24.9,2.0,44.0,1.2,49184.0,427.6,50.8,1117.0,11.0,11502.0,municipality,gospic
Gradac,2021,445.8,72.12,102024.0,4249.2,1414.6,6.8,64.4,148.4,688964.0,28694.9,9553.0,10704.0,33.0,2401.0,municipality,gradac
Gradac,2022,461.6,72.12,135828.0,5657.1,1883.4,6.2,76.0,153.7,842877.0,35105.2,11687.1,11084.0,33.0,2401.0,municipality,gradac
Gradac,2023,438.9,72.12,132126.0,5503.0,1832.0,6.0,75.8,146.1,798477.0,33256.0,11071.5,10539.0,33.0,2401.0,municipality,gradac
Gradac,2024,440.4,72.12,134828.0,5615.5,1869.5,6.1,77.5,146.6,819056.0,34113.1,11356.8,10575.0,33.0,2401.0,municipality,gradac
Gradec,2021,,88.98,,,,,,,,,,,35.0,3189.0,municipality,gradec
Gradec,2022,,88.98,,,,,,,,,,,35.0,3189.0,municipality,gradec
Gradec,2023,,88.98,,,,,,,,,,,35.0,3189.0,municipality,gradec
Gradec,2024,0.3,88.98,,,,,,0.1,,,,8.0,35.0,3189.0,municipality,gradec
Gradina,2021,,120.22,,,,,,,,,,,23.0,2874.0,municipality,gradina
Gradina,2022,,120.22,,,,,,,,,,,23.0,2874.0,municipality,gradina
Gradina,2023,,120.22,,,,,,,,,,,23.0,2874.0,municipality,gradina
Gradina,2024,,120.22,,,,,,,,,,,23.0,2874.0,municipality,gradina
Gradište,2021,0.6,57.63,,,,,,0.2,,,,14.0,38.0,2227.0,municipality,gradiste
Gradište,2022,1.1,57.63,,,,,,0.4,,,,24.0,38.0,2227.0,municipality,gradiste
Gradište,2023,1.3,57.63,525.0,23.6,9.1,1.5,26.3,0.5,762.0,34.2,13.2,29.0,38.0,2227.0,municipality,gradiste
Gradište,2024,1.3,57.63,871.0,39.1,15.1,1.3,39.5,0.5,1146.0,51.5,19.9,29.0,38.0,2227.0,municipality,gradiste
Gračac,2021,9.1,958.26,1663.0,53.0,1.7,2.7,15.8,0.3,4502.0,143.6,4.7,285.0,3.0,3136.0,municipality,gracac
Gračac,2022,9.7,958.26,2139.0,68.2,2.2,2.4,17.1,0.3,5229.0,166.7,5.5,305.0,3.0,3136.0,municipality,gracac
Gračac,2023,10.8,958.26,3004.0,95.8,3.1,2.6,22.7,0.4,7714.0,246.0,8.1,340.0,3.0,3136.0,municipality,gracac
Gračac,2024,9.7,958.26,4245.0,135.4,4.4,2.4,33.9,0.3,10307.0,328.7,10.8,304.0,3.0,3136.0,municipality,gracac
Gračišće,2021,14.2,60.06,1812.0,138.1,30.2,7.5,72.8,3.1,13533.0,1031.5,225.3,186.0,21.0,1312.0,municipality,gracisce
Gračišće,2022,16.1,60.06,2286.0,174.2,38.1,7.8,85.0,3.5,17934.0,1366.9,298.6,211.0,21.0,1312.0,municipality,gracisce
Gračišće,2023,16.9,60.06,2228.0,169.8,37.1,7.8,77.8,3.7,17273.0,1316.5,287.6,222.0,21.0,1312.0,municipality,gracisce
Gračišće,2024,19.3,60.06,2285.0,174.2,38.0,7.5,67.4,4.2,17059.0,1300.2,284.0,253.0,21.0,1312.0,municipality,gracisce
Grožnjan - Grisignana,2021,69.2,67.06,5391.0,821.8,80.4,4.2,49.5,6.8,22491.0,3428.5,335.4,454.0,9.0,656.0,municipality,groznjan grisignana
Grožnjan - Grisignana,2022,73.2,67.06,6491.0,989.5,96.8,4.0,53.7,7.2,25773.0,3928.8,384.3,480.0,9.0,656.0,municipality,groznjan grisignana
Grožnjan - Grisignana,2023,81.1,67.06,7685.0,1171.5,114.6,3.6,52.6,7.9,27959.0,4262.0,416.9,532.0,9.0,656.0,municipality,groznjan grisignana
Grožnjan - Grisignana,2024,85.2,67.06,7638.0,1164.3,113.9,3.8,51.4,8.3,28723.0,4378.5,428.3,559.0,9.0,656.0,municipality,groznjan grisignana
Grubišno Polje,2021,0.1,265.22,,,,,,0.0,,,,7.0,20.0,5367.0,municipality,grubisno polje
Grubišno Polje,2022,0.3,265.22,,,,,,0.1,,,,18.0,20.0,5367.0,municipality,grubisno polje
Grubišno Polje,2023,0.4,265.22,,,,,,0.1,,,,23.0,20.0,5367.0,municipality,grubisno polje
Grubišno Polje,2024,0.6,265.22,125.0,2.3,0.5,2.2,8.7,0.1,279.0,5.2,1.1,32.0,20.0,5367.0,municipality,grubisno polje
Gundinci,2021,0.4,58.47,,,,,,0.1,,,,6.0,27.0,1610.0,municipality,gundinci
Gundinci,2022,,58.47,,,,,,,,,,,27.0,1610.0,municipality,gundinci
Gundinci,2023,,58.47,,,,,,,,,,,27.0,1610.0,municipality,gundinci
Gundinci,2024,0.4,58.47,,,,,,0.1,,,,6.0,27.0,1610.0,municipality,gundinci
Gunja,2021,,31.09,,,,,,,,,,,83.0,2600.0,municipality,gunja
Gunja,2022,,31.09,,,,,,,,,,,83.0,2600.0,municipality,gunja
Gunja,2023,,31.09,,,,,,,,,,,83.0,2600.0,municipality,gunja
Gunja,2024,,31.09,,,,,,,,,,,83.0,2600.0,municipality,gunja
Gvozd,2021,0.1,212.36,,,,,,0.0,,,,3.0,9.0,2047.0,municipality,gvozd
Gvozd,2022,0.1,212.36,,,,,,0.0,,,,3.0,9.0,2047.0,municipality,gvozd
Gvozd,2023,,212.36,,,,,,,,,,,9.0,2047.0,municipality,gvozd
Gvozd,2024,0.3,212.36,,,,,,0.0,,,,6.0,9.0,2047.0,municipality,gvozd
Hercegovac,2021,,50.63,,,,,,,,,,,37.0,1910.0,municipality,hercegovac
Hercegovac,2022,,50.63,,,,,,,,,,,37.0,1910.0,municipality,hercegovac
Hercegovac,2023,,50.63,,,,,,,,,,,37.0,1910.0,municipality,hercegovac
Hercegovac,2024,,50.63,,,,,,,,,,,37.0,1910.0,municipality,hercegovac
Hlebine,2021,0.2,30.74,,,,,,0.1,,,,2.0,38.0,1180.0,municipality,hlebine
Hlebine,2022,,30.74,,,,,,,,,,,38.0,1180.0,municipality,hlebine
Hlebine,2023,0.2,30.74,,,,,,0.1,,,,2.0,38.0,1180.0,municipality,hlebine
Hlebine,2024,1.0,30.74,,,,,,0.4,,,,12.0,38.0,1180.0,municipality,hlebine
Hrašćina,2021,1.9,27.27,,,,,,1.0,,,,26.0,50.0,1388.0,municipality,hrascina
Hrašćina,2022,2.1,27.27,361.0,26.0,13.2,2.3,28.9,1.1,839.0,60.4,30.8,29.0,50.0,1388.0,municipality,hrascina
Hrašćina,2023,2.4,27.27,307.0,22.1,11.3,3.1,27.6,1.2,937.0,67.5,34.4,34.0,50.0,1388.0,municipality,hrascina
Hrašćina,2024,3.5,27.27,662.0,47.7,24.3,2.6,35.8,1.8,1717.0,123.7,63.0,48.0,50.0,1388.0,municipality,hrascina
Hrvace,2021,3.6,207.77,564.0,17.9,2.7,6.8,34.4,0.5,3855.0,122.6,18.6,112.0,15.0,3144.0,municipality,hrvace
Hrvace,2022,3.4,207.77,650.0,20.7,3.1,7.6,45.5,0.5,4918.0,156.4,23.7,108.0,15.0,3144.0,municipality,hrvace
Hrvace,2023,3.1,207.77,635.0,20.2,3.1,7.3,47.9,0.5,4651.0,147.9,22.4,97.0,15.0,3144.0,municipality,hrvace
Hrvace,2024,3.1,207.77,563.0,17.9,2.7,6.3,36.4,0.5,3526.0,112.2,17.0,97.0,15.0,3144.0,municipality,hrvace
Hrvatska Dubica,2021,1.0,129.57,,,,,,0.1,,,,15.0,11.0,1462.0,municipality,hrvatska dubica
Hrvatska Dubica,2022,1.0,129.57,,,,,,0.1,,,,15.0,11.0,1462.0,municipality,hrvatska dubica
Hrvatska Dubica,2023,1.0,129.57,,,,,,0.1,,,,15.0,11.0,1462.0,municipality,hrvatska dubica
Hrvatska Dubica,2024,1.0,129.57,,,,,,0.1,,,,15.0,11.0,1462.0,municipality,hrvatska dubica
Hrvatska Kostajnica,2021,2.1,52.49,,,,,,0.8,,,,40.0,35.0,1879.0,municipality,hrvatska kostajnica
Hrvatska Kostajnica,2022,1.8,52.49,,,,,,0.6,,,,34.0,35.0,1879.0,municipality,hrvatska kostajnica
Hrvatska Kostajnica,2023,2.4,52.49,,,,,,0.9,,,,46.0,35.0,1879.0,municipality,hrvatska kostajnica
Hrvatska Kostajnica,2024,2.6,52.49,343.0,18.3,6.5,2.2,15.6,0.9,747.0,39.8,14.2,48.0,35.0,1879.0,municipality,hrvatska kostajnica
Hum na Sutli,2021,0.3,36.91,,,,,,0.3,,,,12.0,124.0,4592.0,municipality,hum na sutli
Hum na Sutli,2022,0.2,36.91,,,,,,0.3,,,,10.0,124.0,4592.0,municipality,hum na sutli
Hum na Sutli,2023,0.2,36.91,,,,,,0.3,,,,10.0,124.0,4592.0,municipality,hum na sutli
Hum na Sutli,2024,0.2,36.91,,,,,,0.3,,,,10.0,124.0,4592.0,municipality,hum na sutli
Hvar,2021,223.8,75.69,114893.0,2887.5,1517.9,4.3,55.6,117.6,495219.0,12445.8,6542.7,8904.0,52.0,3979.0,municipality,hvar
Hvar,2022,238.3,75.69,165581.0,4161.4,2187.6,3.9,67.9,125.3,643804.0,16180.0,8505.8,9481.0,52.0,3979.0,municipality,hvar
Hvar,2023,241.5,75.69,188143.0,4728.4,2485.7,3.5,68.3,127.0,656599.0,16501.6,8674.8,9609.0,52.0,3979.0,municipality,hvar
Hvar,2024,237.6,75.69,195455.0,4912.2,2582.3,3.4,69.8,124.9,660249.0,16593.3,8723.1,9454.0,52.0,3979.0,municipality,hvar
Ilok,2021,2.9,129.03,4664.0,92.4,36.1,1.4,45.3,1.1,6566.0,130.1,50.9,145.0,39.0,5045.0,municipality,ilok
Ilok,2022,3.1,129.03,5829.0,115.5,45.2,1.5,54.7,1.2,8536.0,169.2,66.2,156.0,39.0,5045.0,municipality,ilok
Ilok,2023,3.4,129.03,6497.0,128.8,50.4,1.4,53.6,1.3,9323.0,184.8,72.3,174.0,39.0,5045.0,municipality,ilok
Ilok,2024,4.1,129.03,5515.0,109.3,42.7,1.4,37.6,1.6,7823.0,155.1,60.6,208.0,39.0,5045.0,municipality,ilok
Imotski,2021,7.1,58.46,3184.0,34.8,54.5,7.3,36.0,11.1,23381.0,255.4,399.9,649.0,156.0,9153.0,municipality,imotski
Imotski,2022,10.0,58.46,5395.0,58.9,92.3,7.3,42.9,15.7,39400.0,430.5,674.0,918.0,156.0,9153.0,municipality,imotski
Imotski,2023,11.8,58.46,6573.0,71.8,112.4,6.2,37.8,18.5,40930.0,447.2,700.1,1083.0,156.0,9153.0,municipality,imotski
