spatial_unit,year,Number of Permanent Beds per 100 inhabitants,area_km2,arrivals,arrivals_per_100,arrivals_per_km2,avg_nights_per_arrival,avg_nights_per_bed,beds_per_km2,nights,nights_per_100,nights_per_km2,permanent_beds,pop_per_km2,population_census,spatial_level,county_key
Berek,2021,3.6,110.96,,,,,,0.4,,,,40.0,9.0,1106.0,municipality,berek
Berek,2022,3.6,110.96,,,,,,0.4,,,,40.0,9.0,1106.0,municipality,berek
Berek,2023,3.6,110.96,,,,,,0.4,,,,40.0,9.0,1106.0,municipality,berek
Berek,2024,3.6,110.96,,,,,,0.4,,,,40.0,9.0,1106.0,municipality,berek
Beretinec,2021,1.0,12.34,606.0,29.6,49.1,3.7,107.8,1.7,2263.0,110.4,183.4,21.0,166.0,2049.0,municipality,beretinec
Beretinec,2022,1.5,12.34,608.0,29.7,49.3,4.5,87.4,2.5,2709.0,132.2,219.5,31.0,166.0,2049.0,municipality,beretinec
Beretinec,2023,1.1,12.34,568.0,27.7,46.0,3.9,96.3,1.9,2214.0,108.1,179.4,23.0,166.0,2049.0,municipality,beretinec
Beretinec,2024,1.6,12.34,511.0,24.9,41.4,3.9,62.4,2.6,1996.0,97.4,161.8,32.0,166.0,2049.0,municipality,beretinec
Bibinje,2021,98.0,14.27,27131.0,684.8,1901.3,7.3,51.0,272.1,198018.0,4997.9,13876.5,3883.0,277.0,3962.0,municipality,bibinje
Bibinje,2022,99.2,14.27,33746.0,851.7,2364.8,6.9,59.4,275.5,233414.0,5891.3,16357.0,3932.0,277.0,3962.0,municipality,bibinje
Bibinje,2023,100.0,14.27,34892.0,880.7,2445.1,6.5,57.6,277.6,228149.0,5758.4,15988.0,3962.0,277.0,3962.0,municipality,bibinje
Bibinje,2024,99.7,14.27,37180.0,938.4,2605.5,6.2,58.0,276.8,229124.0,5783.0,16056.3,3950.0,277.0,3962.0,municipality,bibinje
Bilice,2021,26.7,20.95,5272.0,207.1,251.6,6.4,49.6,32.5,33758.0,1325.9,1611.4,681.0,121.0,2546.0,municipality,bilice
Bilice,2022,27.3,20.95,6173.0,242.5,294.7,6.0,53.3,33.1,36999.0,1453.2,1766.1,694.0,121.0,2546.0,municipality,bilice
Bilice,2023,28.3,20.95,6526.0,256.3,311.5,5.7,51.9,34.4,37385.0,1468.4,1784.5,721.0,121.0,2546.0,municipality,bilice
Bilice,2024,28.9,20.95,6489.0,254.9,309.7,5.6,49.5,35.1,36423.0,1430.6,1738.6,736.0,121.0,2546.0,municipality,bilice
Bilje,2021,8.0,259.53,6088.0,127.6,23.5,2.0,31.6,1.5,12027.0,252.0,46.3,381.0,18.0,4772.0,municipality,bilje
Bilje,2022,9.0,259.53,8203.0,171.9,31.6,2.0,37.8,1.7,16246.0,340.4,62.6,430.0,18.0,4772.0,municipality,bilje
Bilje,2023,8.0,259.53,8412.0,176.3,32.4,1.8,39.6,1.5,15104.0,316.5,58.2,381.0,18.0,4772.0,municipality,bilje
Bilje,2024,8.3,259.53,7714.0,161.7,29.7,1.7,32.9,1.5,13048.0,273.4,50.3,396.0,18.0,4772.0,municipality,bilje
Biograd na Moru,2021,218.7,37.18,122638.0,2189.6,3298.5,6.0,60.5,329.4,740897.0,13227.9,19927.3,12247.0,150.0,5601.0,municipality,biograd na moru
Biograd na Moru,2022,220.6,37.18,166454.0,2971.9,4477.0,5.6,75.4,332.3,931808.0,16636.5,25062.1,12356.0,150.0,5601.0,municipality,biograd na moru
Biograd na Moru,2023,218.9,37.18,177679.0,3172.3,4778.9,5.4,77.6,329.7,951626.0,16990.3,25595.1,12259.0,150.0,5601.0,municipality,biograd na moru
Biograd na Moru,2024,219.8,37.18,188164.0,3359.5,5060.9,5.1,77.9,331.2,959038.0,17122.6,25794.5,12313.0,150.0,5601.0,municipality,biograd na moru
Biskupija,2021,,133.42,,,,,,,,,,,8.0,1177.0,municipality,biskupija
Biskupija,2022,0.5,133.42,,,,,,0.0,,,,6.0,8.0,1177.0,municipality,biskupija
Biskupija,2023,0.2,133.42,,,,,,0.0,,,,2.0,8.0,1177.0,municipality,biskupija
Biskupija,2024,0.2,133.42,,,,,,0.0,,,,2.0,8.0,1177.0,municipality,biskupija
Bistra,2021,0.0,52.89,,,,,,0.1,,,,3.0,121.0,6444.0,municipality,bistra
Bistra,2022,0.0,52.89,,,,,,0.1,,,,3.0,121.0,6444.0,municipality,bistra
Bistra,2023,0.0,52.89,,,,,,0.1,,,,3.0,121.0,6444.0,municipality,bistra
Bistra,2024,0.0,52.89,,,,,,0.1,,,,3.0,121.0,6444.0,municipality,bistra
Bizovac,2021,3.3,100.59,,,,,,1.2,,,,124.0,37.0,3733.0,municipality,bizovac
Bizovac,2022,3.6,100.59,,,,,,1.4,,,,136.0,37.0,3733.0,municipality,bizovac
Bizovac,2023,3.5,100.59,,,,,,1.3,,,,132.0,37.0,3733.0,municipality,bizovac
