"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Daruvar",10105,64.68,156,446,8958,34591,88.6,342.3,138.5,534.8,4.4,6.9,3.9,77.6,10105,64.68,156,469,12867,47317,127.3,468.3,198.9,731.6,4.6,7.3,3.7,100.9,10105,64.68,156,450,16162,55358,159.9,547.8,249.9,855.9,4.5,7.0,3.4,123.0,10105,64.68,156,483,15020,52250,148.6,517.1,232.2,807.8,4.8,7.5,3.5,108.2
"Dežanovac",1978,102.67,19,-,-,-,-,-,-,-,-,-,-,-,1978,102.67,19,6,z,z,z,z,z,z,0.3,0.1,z,z,1978,102.67,19,6,z,z,z,z,z,z,0.3,0.1,z,z,1978,102.67,19,6,z,z,z,z,z,z,0.3,0.1,z,z
"Ðulovac",2772,186.96,14,-,-,-,-,-,-,-,-,-,-,-,2772,186.96,14,-,-,-,-,-,-,-,-,-,-,-,2772,186.96,14,-,-,-,-,-,-,-,-,-,-,-,2772,186.96,14,-,-,-,-,-,-,-,-,-,-,-
"Garešnica",8624,226.35,38,94,1944,4151,22.5,48.1,8.6,18.3,1.1,0.4,2.1,44.2,8624,226.35,38,91,2749,4949,31.9,57.4,12.1,21.9,1.1,0.4,1.8,54.4,8624,226.35,38,98,2784,5008,32.3,58.1,12.3,22.1,1.1,0.4,1.8,51.1,8624,226.35,38,106,2643,4859,30.6,56.3,11.7,21.5,1.2,0.5,1.8,45.8
"Grubišno Polje",5367,265.22,20,7,z,z,z,z,z,z,0.1,0.0,z,z,5367,265.22,20,18,z,z,z,z,z,z,0.3,0.1,z,z,5367,265.22,20,23,z,z,z,z,z,z,0.4,0.1,z,z,5367,265.22,20,32,125,279,2.3,5.2,0.5,1.1,0.6,0.1,2.2,8.7
"Hercegovac",1910,50.63,37,-,-,-,-,-,-,-,-,-,-,-,1910,50.63,37,-,-,-,-,-,-,-,-,-,-,-,1910,50.63,37,-,-,-,-,-,-,-,-,-,-,-,1910,50.63,37,-,-,-,-,-,-,-,-,-,-,-
"Ivanska",2256,132.13,17,4,z,z,z,z,z,z,0.2,0.0,z,z,2256,132.13,17,8,z,z,z,z,z,z,0.4,0.1,z,z,2256,132.13,17,14,z,z,z,z,z,z,0.6,0.1,z,z,2256,132.13,17,14,143,780,6.3,34.6,1.1,5.9,0.6,0.1,5.5,55.7
"Kapela",2367,104.32,22,18,z,z,z,z,z,z,0.8,0.2,z,z,2367,104.32,22,30,598,1756,25.3,74.2,5.7,16.8,1.3,0.3,2.9,58.5,2367,104.32,22,44,714,2516,30.2,106.3,6.8,24.1,1.9,0.4,3.5,57.2,2367,104.32,22,48,784,3136,33.1,132.5,7.5,30.1,2.0,0.5,4.0,65.3
"Konèanica",1805,83.98,21,3,z,z,z,z,z,z,0.2,0.0,z,z,1805,83.98,21,8,z,z,z,z,z,z,0.4,0.1,z,z,1805,83.98,21,8,z,z,z,z,z,z,0.4,0.1,z,z,1805,83.98,21,12,z,z,z,z,z,z,0.7,0.1,z,z
"Nova Raèa",2756,92.75,29,-,-,-,-,-,-,-,-,-,-,-,2756,92.75,29,-,-,-,-,-,-,-,-,-,-,-,2756,92.75,29,-,-,-,-,-,-,-,-,-,-,-,2756,92.75,29,-,-,-,-,-,-,-,-,-,-,-
"Rovišæe",4144,78.76,52,2,z,z,z,z,z,z,0.0,0.0,z,z,4144,78.76,52,4,z,z,z,z,z,z,0.1,0.1,z,z,4144,78.76,52,4,z,z,z,z,z,z,0.1,0.1,z,z,4144,78.76,52,10,96,343,2.3,8.3,1.2,4.4,0.2,0.1,3.6,34.3
"Severin",702,25.95,27,-,-,-,-,-,-,-,-,-,-,-,702,25.95,27,-,-,-,-,-,-,-,-,-,-,-,702,25.95,27,-,-,-,-,-,-,-,-,-,-,-,702,25.95,27,-,-,-,-,-,-,-,-,-,-,-
"Siraè",1796,145.16,12,22,z,z,z,z,z,z,1.2,0.2,z,z,1796,145.16,12,22,z,z,z,z,z,z,1.2,0.2,z,z,1796,145.16,12,22,z,z,z,z,z,z,1.2,0.2,z,z,1796,145.16,12,22,z,z,z,z,z,z,1.2,0.2,z,z
"Šandrovac",1411,62.68,22,-,-,-,-,-,-,-,-,-,-,-,1411,62.68,22,-,-,-,-,-,-,-,-,-,-,-,1411,62.68,22,2,z,z,z,z,z,z,0.1,0.0,z,z,1411,62.68,22,-,-,-,-,-,-,-,-,-,-,-
"Štefanje",1688,67.82,24,8,z,z,z,z,z,z,0.5,0.1,z,z,1688,67.82,24,8,z,z,z,z,z,z,0.5,0.1,z,z,1688,67.82,24,8,z,z,z,z,z,z,0.5,0.1,z,z,1688,67.82,24,8,z,z,z,z,z,z,0.5,0.1,z,z
"Velika Pisanica",1313,84.01,15,23,z,z,z,z,z,z,1.8,0.3,z,z,1313,84.01,15,75,221,480,16.8,36.6,2.6,5.7,5.7,0.9,2.2,6.4,1313,84.01,15,29,z,z,z,z,z,z,2.2,0.3,z,z,1313,84.01,15,37,214,560,16.3,42.7,2.5,6.7,2.8,0.4,2.6,15.1
"Velika Trnovitica",1091,60.62,17,-,-,-,-,-,-,-,-,-,-,-,1091,60.62,17,3,z,z,z,z,z,z,0.3,0.0,z,z,1091,60.62,17,3,z,z,z,z,z,z,0.3,0.0,z,z,1091,60.62,17,3,z,z,z,z,z,z,0.3,0.0,z,z
"Veliki Grðevac",2316,169.31,13,-,-,-,-,-,-,-,-,-,-,-,2316,169.31,13,-,-,-,-,-,-,-,-,-,-,-,2316,169.31,13,-,-,-,-,-,-,-,-,-,-,-,2316,169.31,13,7,z,z,z,z,z,z,0.3,0.0,z,z
"Veliko Trojstvo",2379,65.52,36,21,z,z,z,z,z,z,0.9,0.3,z,z,2379,65.52,36,14,z,z,z,z,z,z,0.6,0.2,z,z,2379,65.52,36,35,99,254,4.2,10.7,1.5,3.9,1.5,0.5,2.6,7.3,2379,65.52,36,35,110,418,4.6,17.6,1.7,6.4,1.5,0.5,3.8,11.9
"Zrinski Topolovac",747,30.35,24,-,-,-,-,-,-,-,-,-,-,-,747,30.35,24,-,-,-,-,-,-,-,-,-,-,-,747,30.35,24,-,-,-,-,-,-,-,-,-,-,-,747,30.35,24,-,-,-,-,-,-,-,-,-,-,-
"County of Virovitica-Podravina",70368,2022.57,35,944,10292,20992,14.6,29.8,5.1,10.4,1.3,0.5,2.0,22.2,70368,2022.57,35,957,15359,32323,21.8,45.9,7.6,16.0,1.4,0.5,2.1,33.8,70368,2022.57,35,949,16000,36032,22.7,51.2,7.9,17.8,1.3,0.5,2.3,38.0,70368,2022.57,35,1059,18500,42920,26.3,61.0,9.1,21.2,1.5,0.5,2.3,40.5
"Crnac",1116,79.40,14,-,-,-,-,-,-,-,-,-,-,-,1116,79.40,14,-,-,-,-,-,-,-,-,-,-,-,1116,79.40,14,-,-,-,-,-,-,-,-,-,-,-,1116,79.40,14,-,-,-,-,-,-,-,-,-,-,-
"Èaèinci",2162,144.89,14,136,949,1995,43.9,92.3,6.5,13.8,6.3,0.9,2.1,14.7,2162,144.89,14,138,1050,2896,48.6,134.0,7.2,20.0,6.4,1.0,2.8,21.0,2162,144.89,14,90,1534,3515,71.0,162.6,10.6,24.3,4.2,0.6,2.3,39.1,2162,144.89,14,95,1917,3307,88.7,153.0,13.2,22.8,4.4,0.7,1.7,34.8
"Èaðavica",1555,91.15,17,41,z,z,z,z,z,z,2.6,0.4,z,z,1555,91.15,17,41,z,z,z,z,z,z,2.6,0.4,z,z,1555,91.15,17,47,z,z,z,z,z,z,3.0,0.5,z,z,1555,91.15,17,53,z,z,z,z,z,z,3.4,0.6,z,z
"Gradina",2874,120.22,23,-,-,-,-,-,-,-,-,-,-,-,2874,120.22,23,-,-,-,-,-,-,-,-,-,-,-,2874,120.22,23,-,-,-,-,-,-,-,-,-,-,-,2874,120.22,23,-,-,-,-,-,-,-,-,-,-,-
"Lukaè",2759,82.89,33,31,z,z,z,z,z,z,1.1,0.4,z,z,2759,82.89,33,31,z,z,z,z,z,z,1.1,0.4,z,z,2759,82.89,33,44,z,z,z,z,z,z,1.6,0.5,z,z,2759,82.89,33,44,z,z,z,z,z,z,1.6,0.5,z,z
"Mikleuš",1067,35.56,30,-,-,-,-,-,-,-,-,-,-,-,1067,35.56,30,-,-,-,-,-,-,-,-,-,-,-,1067,35.56,30,-,-,-,-,-,-,-,-,-,-,-,1067,35.56,30,-,-,-,-,-,-,-,-,-,-,-
"Nova Bukovica",1275,74.94,17,-,-,-,-,-,-,-,-,-,-,-,1275,74.94,17,-,-,-,-,-,-,-,-,-,-,-,1275,74.94,17,-,-,-,-,-,-,-,-,-,-,-,1275,74.94,17,-,-,-,-,-,-,-,-,-,-,-
"Orahovica",4537,124.18,36,309,z,z,z,z,z,z,6.8,2.5,z,z,4537,124.18,36,303,z,z,z,z,z,z,6.7,2.4,z,z,4537,124.18,36,303,z,z,z,z,z,z,6.7,2.4,z,z,4537,124.18,36,317,z,z,z,z,z,z,7.0,2.6,z,z
"Pitomaèa",8402,158.03,53,89,527,1019,6.3,12.1,3.3,6.4,1.1,0.6,1.9,11.4,8402,158.03,53,60,437,871,5.2,10.4,2.8,5.5,0.7,0.4,2.0,14.5,8402,158.03,53,56,409,1236,4.9,14.7,2.6,7.8,0.7,0.4,3.0,22.1,8402,158.03,53,56,593,1817,7.1,21.6,3.8,11.5,0.7,0.4,3.1,32.4
"Slatina",11503,167.75,68,71,392,1061,3.4,9.2,2.3,6.3,0.6,0.4,2.7,14.9,11503,167.75,68,102,663,1483,5.8,12.9,4.0,8.8,0.9,0.6,2.2,14.5,11503,167.75,68,104,971,2004,8.4,17.4,5.8,11.9,0.9,0.6,2.1,19.3,11503,167.75,68,122,1083,2080,9.4,18.1,6.5,12.4,1.1,0.7,1.9,17.0
"Sopje",1897,117.25,16,77,1574,2503,83.0,131.9,13.4,21.3,4.1,0.7,1.6,32.5,1897,117.25,16,77,2256,3159,118.9,166.5,19.2,26.9,4.1,0.7,1.4,41.0,1897,117.25,16,77,z,z,z,z,z,z,4.1,0.7,z,z,1897,117.25,16,59,z,z,z,z,z,z,3.1,0.5,z,z
"Suhopolje",5267,166.64,31,30,z,z,z,z,z,z,0.6,0.2,z,z,5267,166.64,31,30,z,z,z,z,z,z,0.6,0.2,z,z,5267,166.64,31,30,z,z,z,z,z,z,0.6,0.2,z,z,5267,166.64,31,60,z,z,z,z,z,z,1.1,0.4,z,z
"Špišiæ Bukovica",3303,107.80,30,27,z,z,z,z,z,z,0.8,0.3,z,z,3303,107.80,30,27,z,z,z,z,z,z,0.8,0.3,z,z,3303,107.80,30,27,z,z,z,z,z,z,0.8,0.3,z,z,3303,107.80,30,27,z,z,z,z,z,z,0.8,0.3,z,z
"Virovitica",19302,170.67,113,127,884,2000,4.6,10.4,5.2,11.7,0.7,0.7,2.3,15.7,19302,170.67,113,136,1155,2361,6.0,12.2,6.8,13.8,0.7,0.8,2.0,17.4,19302,170.67,113,151,1419,2969,7.4,15.4,8.3,17.4,0.8,0.9,2.1,19.7,19302,170.67,113,206,2129,4517,11.0,23.4,12.5,26.5,1.1,1.2,2.1,21.9
"Voæin",1896,296.56,6,6,z,z,z,z,z,z,0.3,0.0,z,z,1896,296.56,6,12,z,z,z,z,z,z,0.6,0.0,z,z,1896,296.56,6,20,z,z,z,z,z,z,1.1,0.1,z,z,1896,296.56,6,20,302,612,15.9,32.3,1.0,2.1,1.1,0.1,2.0,30.6
"Zdenci",1453,84.64,17,-,-,-,-,-,-,-,-,-,-,-,1453,84.64,17,-,-,-,-,-,-,-,-,-,-,-,1453,84.64,17,-,-,-,-,-,-,-,-,-,-,-,1453,84.64,17,-,-,-,-,-,-,-,-,-,-,-
"County of Požega-Slavonia",64084,1822.65,35,1180,14858,37669,23.2,58.8,8.2,20.7,1.8,0.6,2.5,31.9,64084,1822.65,35,1186,22763,61067,35.5,95.3,12.5,33.5,1.9,0.7,2.7,51.5,64084,1822.65,35,1733,24559,64782,38.3,101.1,13.5,35.5,2.7,1.0,2.6,37.4,64084,1822.65,35,1387,25572,66678,39.9,104.0,14.0,36.6,2.2,0.8,2.6,48.1
"Brestovac",2980,279.52,10,44,1332,4027,44.7,135.1,4.8,14.4,1.5,0.2,3.0,91.5,2980,279.52,10,44,1278,3655,42.9,122.7,4.6,13.1,1.5,0.2,2.9,83.1,2980,279.52,10,57,1407,4148,47.2,139.2,5.0,14.8,1.9,0.2,2.9,72.8,2980,279.52,10,52,1383,4032,46.4,135.3,4.9,14.4,1.7,0.2,2.9,77.5
"Èaglin",2111,178.23,11,21,z,z,z,z,z,z,1.0,0.1,z,z,2111,178.23,11,29,z,z,z,z,z,z,1.4,0.2,z,z,2111,178.23,11,29,311,619,14.7,29.3,1.7,3.5,1.4,0.2,2.0,21.3,2111,178.23,11,28,327,634,15.5,30.0,1.8,3.6,1.3,0.2,1.9,22.6
"Jakšiæ",3371,43.42,77,-,-,-,-,-,-,-,-,-,-,-,3371,43.42,77,-,-,-,-,-,-,-,-,-,-,-,3371,43.42,77,-,-,-,-,-,-,-,-,-,-,-,3371,43.42,77,8,z,z,z,z,z,z,0.2,0.2,z,z
"Kaptol",2605,85.44,30,21,z,z,z,z,z,z,0.8,0.2,z,z,2605,85.44,30,21,z,z,z,z,z,z,0.8,0.2,z,z,2605,85.44,30,29,309,660,11.9,25.3,3.6,7.7,1.1,0.3,2.1,22.8,2605,85.44,30,29,z,z,z,z,z,z,1.1,0.3,z,z
"Kutjevo",4870,173.97,27,157,1582,2408,32.5,49.4,9.1,13.8,3.2,0.9,1.5,15.3,4870,173.97,27,129,2366,3719,48.6,76.4,13.6,21.4,2.6,0.7,1.6,28.8,4870,173.97,27,150,3139,5649,64.5,116.0,18.0,32.5,3.1,0.9,1.8,37.7,4870,173.97,27,141,3389,6302,69.6,129.4,19.5,36.2,2.9,0.8,1.9,44.7
"Lipik",5127,208.65,24,129,1092,7822,21.3,152.6,5.2,37.5,2.5,0.6,7.2,60.6,5127,208.65,24,122,2224,20077,43.4,391.6,10.7,96.2,2.4,0.6,9.0,164.6,5127,208.65,24,133,2130,19859,41.5,387.3,10.2,95.2,2.6,0.6,9.3,149.3,5127,208.65,24,138,2739,22287,53.4,434.7,13.1,106.8,2.7,0.7,8.1,161.5
"Pakrac",7086,358.20,19,120,1818,4266,25.7,60.2,5.1,11.9,1.7,0.3,2.3,35.5,7086,358.20,19,121,2120,4621,29.9,65.2,5.9,12.9,1.7,0.3,2.2,38.2,7086,358.20,19,120,2035,4508,28.7,63.6,5.7,12.6,1.7,0.3,2.2,37.6,7086,358.20,19,126,1935,4441,27.3,62.7,5.4,12.4,1.8,0.4,2.3,35.2
"Pleternica",9138,206.59,44,68,568,1099,6.2,12.0,2.7,5.3,0.7,0.3,1.9,16.2,9138,206.59,44,99,1037,2041,11.3,22.3,5.0,9.9,1.1,0.5,2.0,20.6,9138,206.59,44,509,1672,3073,18.3,33.6,8.1,14.9,5.6,2.5,1.8,6.0,9138,206.59,44,112,853,1944,9.3,21.3,4.1,9.4,1.2,0.5,2.3,17.4
"Požega",22294,133.75,166,403,5686,11628,25.5,52.2,42.5,86.9,1.8,3.0,2.0,28.9,22294,133.75,166,382,9365,17982,42.0,80.7,70.0,134.4,1.7,2.9,1.9,47.1,22294,133.75,166,447,9417,17751,42.2,79.6,70.4,132.7,2.0,3.3,1.9,39.7,22294,133.75,166,486,10426,18292,46.8,82.0,78.0,136.8,2.2,3.6,1.8,37.6
"Velika",4502,154.88,29,217,2375,5524,52.8,122.7,15.3,35.7,4.8,1.4,2.3,25.5,4502,154.88,29,239,3818,7989,84.8,177.5,24.7,51.6,5.3,1.5,2.1,33.4,4502,154.88,29,259,4139,8515,91.9,189.1,26.7,55.0,5.8,1.7,2.1,32.9,4502,154.88,29,267,3988,7688,88.6,170.8,25.7,49.6,5.9,1.7,1.9,28.8
"County of Slavonski Brod-Posavina",130267,2028.28,64,1098,25150,39503,19.3,30.3,12.4,19.5,0.8,0.5,1.6,36.0,130267,2028.28,64,1282,36754,58118,28.2,44.6,18.1,28.7,1.0,0.6,1.6,45.3,130267,2028.28,64,1385,42152,68137,32.4,52.3,20.8,33.6,1.1,0.7,1.6,49.2,130267,2028.28,64,1585,47850,71509,36.7,54.9,23.6,35.3,1.2,0.8,1.5,45.1
"Bebrina",2817,101.19,27,-,-,-,-,-,-,-,-,-,-,-,2817,101.19,27,-,-,-,-,-,-,-,-,-,-,-,2817,101.19,27,-,-,-,-,-,-,-,-,-,-,-,2817,101.19,27,-,-,-,-,-,-,-,-,-,-,-
"Brodski Stupnik",2357,57.88,40,41,z,z,z,z,z,z,1.7,0.7,z,z,2357,57.88,40,41,z,z,z,z,z,z,1.7,0.7,z,z,2357,57.88,40,41,z,z,z,z,z,z,1.7,0.7,z,z,2357,57.88,40,42,z,z,z,z,z,z,1.8,0.7,z,z
"Bukovlje",2727,31.01,87,-,-,-,-,-,-,-,-,-,-,-,2727,31.01,87,-,-,-,-,-,-,-,-,-,-,-,2727,31.01,87,2,z,z,z,z,z,z,0.1,0.1,z,z,2727,31.01,87,10,z,z,z,z,z,z,0.4,0.3,z,z
"Cernik",2964,127.86,23,70,z,z,z,z,z,z,2.4,0.5,z,z,2964,127.86,23,66,z,z,z,z,z,z,2.2,0.5,z,z,2964,127.86,23,76,z,z,z,z,z,z,2.6,0.6,z,z,2964,127.86,23,72,z,z,z,z,z,z,2.4,0.6,z,z
"Davor",2529,42.72,59,-,-,-,-,-,-,-,-,-,-,-,2529,42.72,59,-,-,-,-,-,-,-,-,-,-,-,2529,42.72,59,-,-,-,-,-,-,-,-,-,-,-,2529,42.72,59,-,-,-,-,-,-,-,-,-,-,-
"Donji Andrijevci",3059,56.98,53,-,-,-,-,-,-,-,-,-,-,-,3059,56.98,53,4,z,z,z,z,z,z,0.1,0.1,z,z,3059,56.98,53,4,z,z,z,z,z,z,0.1,0.1,z,z,3059,56.98,53,4,z,z,z,z,z,z,0.1,0.1,z,z
"Dragaliæ",1058,61.62,17,-,-,-,-,-,-,-,-,-,-,-,1058,61.62,17,-,-,-,-,-,-,-,-,-,-,-,1058,61.62,17,-,-,-,-,-,-,-,-,-,-,-,1058,61.62,17,-,-,-,-,-,-,-,-,-,-,-
"Garèin",3951,88.30,44,72,896,1343,22.7,34.0,10.1,15.2,1.8,0.8,1.5,18.7,3951,88.30,44,72,991,2688,25.1,68.0,11.2,30.4,1.8,0.8,2.7,37.3,3951,88.30,44,80,1506,4182,38.1,105.8,17.1,47.4,2.0,0.9,2.8,52.3,3951,88.30,44,80,2008,2815,50.8,71.2,22.7,31.9,2.0,0.9,1.4,35.2
"Gornja Vrba",2168,20.13,107,-,-,-,-,-,-,-,-,-,-,-,2168,20.13,107,-,-,-,-,-,-,-,-,-,-,-,2168,20.13,107,-,-,-,-,-,-,-,-,-,-,-,2168,20.13,107,-,-,-,-,-,-,-,-,-,-,-
"Gornji Bogiæevci",1428,41.84,34,16,z,z,z,z,z,z,1.1,0.4,z,z,1428,41.84,34,16,z,z,z,z,z,z,1.1,0.4,z,z,1428,41.84,34,16,z,z,z,z,z,z,1.1,0.4,z,z,1428,41.84,34,16,z,z,z,z,z,z,1.1,0.4,z,z
"Gundinci",1610,58.47,27,6,z,z,z,z,z,z,0.4,0.1,z,z,1610,58.47,27,-,-,-,-,-,-,-,-,-,-,-,1610,58.47,27,-,-,-,-,-,-,-,-,-,-,-,1610,58.47,27,6,z,z,z,z,z,z,0.4,0.1,z,z
"Klakar",2020,53.53,37,-,-,-,-,-,-,-,-,-,-,-,2020,53.53,37,-,-,-,-,-,-,-,-,-,-,-,2020,53.53,37,-,-,-,-,-,-,-,-,-,-,-,2020,53.53,37,-,-,-,-,-,-,-,-,-,-,-
"Nova Gradiška",11690,48.92,238,104,2453,3918,21.0,33.5,50.1,80.1,0.9,2.1,1.6,37.7,11690,48.92,238,140,3484,5525,29.8,47.3,71.2,112.9,1.2,2.9,1.6,39.5,11690,48.92,238,143,4383,6336,37.5,54.2,89.6,129.5,1.2,2.9,1.4,44.3,11690,48.92,238,172,5631,8356,48.2,71.5,115.1,170.8,1.5,3.5,1.5,48.6
"Nova Kapela",3393,128.33,26,34,377,795,11.1,23.4,2.9,6.2,1.0,0.3,2.1,23.4,3393,128.33,26,34,379,791,11.2,23.3,3.0,6.2,1.0,0.3,2.1,23.3,3393,128.33,26,34,542,1199,16.0,35.3,4.2,9.3,1.0,0.3,2.2,35.3,3393,128.33,26,32,511,1098,15.1,32.4,4.0,8.6,0.9,0.2,2.1,34.3
"Okuèani",2323,159.64,14,15,z,z,z,z,z,z,0.6,0.1,z,z,2323,159.64,14,24,z,z,z,z,z,z,1.0,0.2,z,z,2323,159.64,14,24,z,z,z,z,z,z,1.0,0.2,z,z,2323,159.64,14,26,z,z,z,z,z,z,1.1,0.2,z,z
"Oprisavci",1968,59.73,32,4,z,z,z,z,z,z,0.2,0.1,z,z,1968,59.73,32,4,z,z,z,z,z,z,0.2,0.1,z,z,1968,59.73,32,4,z,z,z,z,z,z,0.2,0.1,z,z,1968,59.73,32,8,z,z,z,z,z,z,0.4,0.1,z,z
"Oriovac",4770,93.28,51,8,z,z,z,z,z,z,0.2,0.1,z,z,4770,93.28,51,19,326,651,6.8,13.6,3.5,7.0,0.4,0.2,2.0,34.3,4770,93.28,51,28,359,697,7.5,14.6,3.8,7.5,0.6,0.3,1.9,24.9,4770,93.28,51,28,275,665,5.8,13.9,2.9,7.1,0.6,0.3,2.4,23.8
"Podcrkavlje",2207,95.04,23,-,-,-,-,-,-,-,-,-,-,-,2207,95.04,23,6,z,z,z,z,z,z,0.3,0.1,z,z,2207,95.04,23,6,z,z,z,z,z,z,0.3,0.1,z,z,2207,95.04,23,8,z,z,z,z,z,z,0.4,0.1,z,z
"Rešetari",3852,59.22,65,37,z,z,z,z,z,z,1.0,0.6,z,z,3852,59.22,65,45,z,z,z,z,z,z,1.2,0.8,z,z,3852,59.22,65,45,z,z,z,z,z,z,1.2,0.8,z,z,3852,59.22,65,48,z,z,z,z,z,z,1.2,0.8,z,z
"Sibinj",5730,103.65,55,56,z,z,z,z,z,z,1.0,0.5,z,z,5730,103.65,55,58,z,z,z,z,z,z,1.0,0.6,z,z,5730,103.65,55,58,z,z,z,z,z,z,1.0,0.6,z,z,5730,103.65,55,58,z,z,z,z,z,z,1.0,0.6,z,z
"Sikirevci",2028,29.66,68,-,-,-,-,-,-,-,-,-,-,-,2028,29.66,68,2,z,z,z,z,z,z,0.1,0.1,z,z,2028,29.66,68,2,z,z,z,z,z,z,0.1,0.1,z,z,2028,29.66,68,6,z,z,z,z,z,z,0.3,0.2,z,z
"Slavonski Brod",49891,54.12,921,599,16245,25426,32.6,51.0,300.2,469.8,1.2,11.1,1.6,42.4,49891,54.12,921,688,24121,37953,48.3,76.1,445.7,701.3,1.4,12.7,1.6,55.2,49891,54.12,921,786,27536,44746,55.2,89.7,508.8,826.8,1.6,14.5,1.6,56.9,49891,54.12,921,930,30693,46498,61.5,93.2,567.1,859.2,1.9,17.2,1.5,50.0
"Slavonski Šamac",1576,22.47,70,-,-,-,-,-,-,-,-,-,-,-,1576,22.47,70,-,-,-,-,-,-,-,-,-,-,-,1576,22.47,70,-,-,-,-,-,-,-,-,-,-,-,1576,22.47,70,-,-,-,-,-,-,-,-,-,-,-
"Stara Gradiška",911,77.29,11,-,-,-,-,-,-,-,-,-,-,-,911,77.29,11,-,-,-,-,-,-,-,-,-,-,-,911,77.29,11,-,-,-,-,-,-,-,-,-,-,-,911,77.29,11,-,-,-,-,-,-,-,-,-,-,-
"Staro Petrovo Selo",4110,140.97,29,25,z,z,z,z,z,z,0.6,0.2,z,z,4110,140.97,29,25,z,z,z,z,z,z,0.6,0.2,z,z,4110,140.97,29,25,z,z,z,z,z,z,0.6,0.2,z,z,4110,140.97,29,37,1934,2387,47.1,58.1,13.7,16.9,0.9,0.3,1.2,64.5
"Velika Kopanica",2621,74.29,35,11,z,z,z,z,z,z,0.4,0.1,z,z,2621,74.29,35,38,z,z,z,z,z,z,1.4,0.5,z,z,2621,74.29,35,11,z,z,z,z,z,z,0.4,0.1,z,z,2621,74.29,35,2,z,z,z,z,z,z,0.1,0.0,z,z
"Vrbje",1691,79.25,21,-,-,-,-,-,-,-,-,-,-,-,1691,79.25,21,-,-,-,-,-,-,-,-,-,-,-,1691,79.25,21,-,-,-,-,-,-,-,-,-,-,-,1691,79.25,21,-,-,-,-,-,-,-,-,-,-,-
"Vrpolje",2818,60.89,46,-,-,-,-,-,-,-,-,-,-,-,2818,60.89,46,-,-,-,-,-,-,-,-,-,-,-,2818,60.89,46,-,-,-,-,-,-,-,-,-,-,-,2818,60.89,46,-,-,-,-,-,-,-,-,-,-,-
"County of Osijek-Baranja",258026,4148.00,62,3542,75351,161056,29.2,62.4,18.2,38.8,1.4,0.9,2.1,45.5,258026,4148.00,62,4186,107945,218462,41.8,84.7,26.0,52.7,1.6,1.0,2.0,52.2,258026,4148.00,62,4440,124258,253118,48.2,98.1,30.0,61.0,1.7,1.1,2.0,57.0,258026,4148.00,62,5124,137291,265554,53.2,102.9,33.1,64.0,2.0,1.2,1.9,51.8
"Antunovac",3411,56.75,60,-,-,-,-,-,-,-,-,-,-,-,3411,56.75,60,-,-,-,-,-,-,-,-,-,-,-,3411,56.75,60,-,-,-,-,-,-,-,-,-,-,-,3411,56.75,60,-,-,-,-,-,-,-,-,-,-,-
"Beli Manastir",7973,62.37,127,140,z,z,z,z,z,z,1.8,2.2,z,z,7973,62.37,127,183,5227,9163,65.6,114.9,83.8,146.9,2.3,2.9,1.8,50.1,7973,62.37,127,178,4840,8765,60.7,109.9,77.6,140.5,2.2,2.9,1.8,49.2,7973,62.37,127,159,5182,8052,65.0,101.0,83.1,129.1,2.0,2.5,1.6,50.6
